x;od poczatku;od konca
1,76764;1,57E-14;1,57E-14
1,76607;1,28E-14;1,28E-14
1,7645;1,04E-14;1,04E-14
1,76293;8,49E-15;8,48E-15
1,76136;6,90E-15;6,89E-15
1,75979;5,60E-15;5,60E-15
1,75822;4,55E-15;4,55E-15
1,75665;3,68E-15;3,70E-15
1,75508;3,01E-15;3,00E-15
1,75351;2,43E-15;2,44E-15
1,75194;1,99E-15;1,98E-15
1,75037;1,61E-15;1,61E-15
1,7488;1,30E-15;1,30E-15
1,74723;1,05E-15;1,06E-15
1,74566;8,37E-16;8,58E-16
1,74409;7,03E-16;6,94E-16
1,74252;5,70E-16;5,63E-16
1,74095;4,82E-16;4,56E-16
1,73938;3,93E-16;3,74E-16
1,73781;3,67E-16;2,98E-16
1,73624;3,08E-16;2,44E-16
1,73467;2,90E-16;1,98E-16
1,7331;2,94E-16;1,62E-16
1,73153;2,78E-16;1,30E-16
1,72996;2,52E-16;1,07E-16
1,72839;2,79E-16;8,50E-17
1,72682;2,52E-16;6,99E-17
1,72525;2,63E-16;5,75E-17
1,72368;2,65E-16;4,96E-17
1,72211;2,54E-16;3,86E-17
1,72054;2,50E-16;3,44E-17
1,71897;2,40E-16;2,65E-17
1,7174;2,43E-16;2,40E-17
1,71583;2,30E-16;2,24E-17
1,71426;2,41E-16;2,08E-17
1,71269;2,34E-16;1,99E-17
1,71112;2,34E-16;2,05E-17
1,70955;2,34E-16;1,92E-17
1,70798;2,50E-16;1,93E-17
1,70641;2,36E-16;2,02E-17
1,70484;2,48E-16;1,88E-17
1,70327;2,49E-16;1,74E-17
1,7017;2,37E-16;1,55E-17
1,70013;2,34E-16;1,75E-17
1,69856;2,26E-16;1,78E-17
1,69699;2,43E-16;1,85E-17
1,69542;2,33E-16;1,93E-17
1,69385;2,31E-16;1,71E-17
1,69228;2,27E-16;1,68E-17
1,69071;2,45E-16;1,43E-17
1,68914;2,29E-16;1,82E-17
1,68757;2,44E-16;1,62E-17
1,686;2,30E-16;2,07E-17
1,68443;2,35E-16;1,81E-17
1,68286;2,18E-16;1,91E-17
1,68129;2,36E-16;2,00E-17
1,67972;2,33E-16;1,77E-17
1,67815;2,33E-16;1,80E-17
1,67658;2,40E-16;1,69E-17
1,67501;2,27E-16;1,60E-17
1,67344;2,50E-16;2,01E-17
1,67187;2,19E-16;1,92E-17
1,6703;2,50E-16;1,83E-17
1,66873;2,18E-16;1,82E-17
1,66716;2,47E-16;2,02E-17
1,66559;2,18E-16;1,78E-17
1,66402;2,35E-16;1,73E-17
1,66245;2,24E-16;1,81E-17
1,66088;2,32E-16;2,02E-17
1,65931;2,42E-16;1,91E-17
1,65774;2,21E-16;1,73E-17
1,65617;2,46E-16;1,87E-17
1,6546;2,11E-16;1,85E-17
1,65303;2,22E-16;1,92E-17
1,65146;2,25E-16;1,81E-17
1,64989;2,08E-16;1,67E-17
1,64832;2,01E-16;1,62E-17
1,64675;1,22E-16;9,60E-18
1,64518;1,15E-16;1,01E-17
1,64361;1,19E-16;1,05E-17
1,64204;1,19E-16;1,19E-17
1,64047;1,17E-16;1,07E-17
1,6389;1,16E-16;1,07E-17
1,63733;1,14E-16;1,17E-17
1,63576;1,12E-16;1,07E-17
1,63419;1,16E-16;9,38E-18
1,63262;1,15E-16;1,04E-17
1,63105;1,15E-16;1,04E-17
1,62948;1,12E-16;1,02E-17
1,62791;1,17E-16;1,05E-17
1,62634;1,11E-16;1,09E-17
1,62477;1,18E-16;1,09E-17
1,6232;1,14E-16;8,99E-18
1,62163;1,11E-16;9,60E-18
1,62006;1,14E-16;1,01E-17
1,61849;1,10E-16;1,11E-17
1,61692;1,14E-16;9,49E-18
1,61535;1,12E-16;1,07E-17
1,61378;1,08E-16;1,01E-17
1,61221;1,08E-16;1,02E-17
1,61064;1,08E-16;9,77E-18
1,60907;1,06E-16;1,17E-17
1,6075;1,02E-16;1,00E-17
1,60593;1,02E-16;1,12E-17
1,60436;1,13E-16;9,55E-18
1,60279;9,91E-17;9,66E-18
1,60122;1,02E-16;1,08E-17
1,59965;1,13E-16;1,03E-17
1,59808;1,10E-16;1,14E-17
1,59651;1,02E-16;1,07E-17
1,59494;1,08E-16;1,02E-17
1,59337;1,05E-16;1,09E-17
1,5918;1,02E-16;1,07E-17
1,59023;1,07E-16;1,03E-17
1,58866;1,04E-16;1,12E-17
1,58709;1,12E-16;9,66E-18
1,58552;1,01E-16;1,06E-17
1,58395;1,12E-16;1,12E-17
1,58238;1,14E-16;1,02E-17
1,58081;1,02E-16;9,94E-18
1,57924;1,06E-16;1,17E-17
1,57767;1,02E-16;1,08E-17
1,5761;1,04E-16;1,02E-17
1,57453;9,74E-17;9,55E-18
1,57296;1,03E-16;1,00E-17
1,57139;9,89E-17;1,08E-17
1,56982;9,61E-17;1,00E-17
1,56825;1,01E-16;1,01E-17
1,56668;1,01E-16;9,88E-18
1,56511;1,05E-16;9,27E-18
1,56354;9,55E-17;1,05E-17
1,56197;1,03E-16;8,77E-18
1,5604;1,01E-16;9,55E-18
1,55883;1,02E-16;1,00E-17
1,55726;9,93E-17;9,49E-18
1,55569;1,07E-16;8,66E-18
1,55412;1,00E-16;1,12E-17
1,55255;9,89E-17;1,04E-17
1,55098;9,64E-17;9,66E-18
1,54941;9,96E-17;9,38E-18
1,54784;9,55E-17;1,02E-17
1,54627;1,00E-16;9,44E-18
1,5447;9,20E-17;9,99E-18
1,54313;9,05E-17;9,27E-18
1,54156;9,83E-17;8,60E-18
1,53999;9,83E-17;9,60E-18
1,53842;9,09E-17;1,04E-17
1,53685;9,18E-17;1,01E-17
1,53528;9,78E-17;1,13E-17
1,53371;9,50E-17;1,03E-17
1,53214;9,37E-17;9,27E-18
1,53057;9,01E-17;9,38E-18
1,529;9,64E-17;9,27E-18
1,52743;1,03E-16;8,66E-18
1,52586;9,39E-17;9,38E-18
1,52429;8,90E-17;9,16E-18
1,52272;8,69E-17;8,44E-18
1,52115;1,07E-16;9,60E-18
1,51958;9,42E-17;8,88E-18
1,51801;9,60E-17;1,03E-17
1,51644;9,03E-17;1,06E-17
1,51487;9,19E-17;1,04E-17
1,5133;9,75E-17;9,05E-18
1,51173;9,05E-17;1,01E-17
1,51016;9,47E-17;9,16E-18
1,50859;8,56E-17;8,60E-18
1,50702;1,07E-16;1,01E-17
1,50545;9,50E-17;8,22E-18
1,50388;9,65E-17;8,88E-18
1,50231;8,68E-17;8,55E-18
1,50074;9,10E-17;9,38E-18
1,49917;1,05E-16;9,21E-18
1,4976;8,18E-17;8,60E-18
1,49603;8,95E-17;9,99E-18
1,49446;8,54E-17;8,60E-18
1,49289;9,34E-17;9,60E-18
1,49132;9,91E-17;9,77E-18
1,48975;8,98E-17;9,10E-18
1,48818;8,27E-17;8,77E-18
1,48661;8,40E-17;9,66E-18
1,48504;9,35E-17;8,22E-18
1,48347;9,78E-17;9,71E-18
1,4819;8,53E-17;8,38E-18
1,48033;8,09E-17;1,00E-17
1,47876;8,43E-17;8,60E-18
1,47719;8,52E-17;8,99E-18
1,47562;9,78E-17;8,94E-18
1,47405;9,10E-17;1,00E-17
1,47248;8,38E-17;9,71E-18
1,47091;7,93E-17;8,94E-18
1,46934;8,40E-17;1,03E-17
1,46777;9,12E-17;9,60E-18
1,4662;8,93E-17;8,77E-18
1,46463;8,79E-17;8,77E-18
1,46306;8,15E-17;9,83E-18
1,46149;8,58E-17;8,77E-18
1,45992;8,43E-17;1,01E-17
1,45835;9,80E-17;9,10E-18
1,45678;8,52E-17;9,49E-18
1,45521;8,22E-17;8,99E-18
1,45364;8,35E-17;8,88E-18
1,45207;8,67E-17;8,83E-18
1,4505;8,75E-17;9,27E-18
1,44893;9,02E-17;8,55E-18
1,44736;8,33E-17;8,16E-18
1,44579;8,32E-17;9,71E-18
1,44422;7,99E-17;8,72E-18
1,44265;8,00E-17;8,55E-18
1,44108;8,89E-17;8,49E-18
1,43951;8,25E-17;8,44E-18
1,43794;8,28E-17;8,44E-18
1,43637;7,91E-17;9,88E-18
1,4348;7,53E-17;8,55E-18
1,43323;8,52E-17;8,99E-18
1,43166;8,18E-17;8,77E-18
1,43009;7,98E-17;9,05E-18
1,42852;8,42E-17;1,02E-17
1,42695;7,52E-17;9,60E-18
1,42538;7,77E-17;8,22E-18
1,42381;8,30E-17;1,00E-17
1,42224;7,96E-17;8,94E-18
1,42067;7,80E-17;9,49E-18
1,4191;7,68E-17;9,27E-18
1,41753;8,29E-17;9,27E-18
1,41596;7,51E-17;8,66E-18
1,41439;8,56E-17;9,44E-18
1,41282;7,99E-17;8,83E-18
1,41125;7,43E-17;8,94E-18
1,40968;8,31E-17;9,10E-18
1,40811;7,34E-17;8,38E-18
1,40654;7,78E-17;9,05E-18
1,40497;7,42E-17;9,55E-18
1,4034;8,42E-17;7,55E-18
1,40183;7,54E-17;8,83E-18
1,40026;7,02E-17;8,16E-18
1,39869;8,10E-17;7,94E-18
1,39712;7,36E-17;8,49E-18
1,39555;7,76E-17;5,72E-18
1,39398;8,65E-17;4,11E-18
1,39241;7,83E-17;4,39E-18
1,39084;7,19E-17;3,83E-18
1,38927;7,83E-17;4,66E-18
1,3877;8,00E-17;4,77E-18
1,38613;7,56E-17;5,11E-18
1,38456;7,50E-17;4,94E-18
1,38299;8,45E-17;3,66E-18
1,38142;7,52E-17;5,11E-18
1,37985;6,86E-17;4,83E-18
1,37828;7,61E-17;3,16E-18
1,37671;7,57E-17;5,44E-18
1,37514;7,38E-17;5,94E-18
1,37357;6,90E-17;4,44E-18
1,372;8,04E-17;4,11E-18
1,37043;7,16E-17;3,83E-18
1,36886;6,74E-17;5,94E-18
1,36729;7,64E-17;4,77E-18
1,36572;7,33E-17;4,55E-18
1,36415;7,46E-17;4,39E-18
1,36258;7,17E-17;4,72E-18
1,36101;7,51E-17;4,50E-18
1,35944;6,95E-17;4,55E-18
1,35787;7,35E-17;4,50E-18
1,3563;6,99E-17;5,00E-18
1,35473;7,75E-17;5,27E-18
1,35316;7,27E-17;4,77E-18
1,35159;7,08E-17;5,16E-18
1,35002;7,14E-17;4,55E-18
1,34845;7,04E-17;4,88E-18
1,34688;6,96E-17;5,16E-18
1,34531;6,76E-17;5,05E-18
1,34374;6,61E-17;4,27E-18
1,34217;7,56E-17;4,77E-18
1,3406;7,42E-17;4,27E-18
1,33903;6,68E-17;4,83E-18
1,33746;6,86E-17;4,16E-18
1,33589;6,64E-17;4,61E-18
1,33432;6,93E-17;4,16E-18
1,33275;6,86E-17;5,27E-18
1,33118;7,01E-17;4,33E-18
1,32961;7,43E-17;5,27E-18
1,32804;6,79E-17;4,05E-18
1,32647;6,71E-17;4,83E-18
1,3249;6,98E-17;5,11E-18
1,32333;6,66E-17;5,50E-18
1,32176;6,85E-17;4,72E-18
1,32019;6,87E-17;4,55E-18
1,31862;6,87E-17;4,72E-18
1,31705;7,18E-17;4,22E-18
1,31548;7,04E-17;4,39E-18
1,31391;7,54E-17;4,83E-18
1,31234;6,88E-17;4,77E-18
1,31077;6,78E-17;5,11E-18
1,3092;6,79E-17;5,11E-18
1,30763;6,66E-17;4,22E-18
1,30606;6,50E-17;4,72E-18
1,30449;7,16E-17;4,11E-18
1,30292;6,71E-17;3,28E-18
1,30135;6,26E-17;4,00E-18
1,29978;7,33E-17;3,89E-18
1,29821;6,27E-17;3,22E-18
1,29664;6,33E-17;4,33E-18
1,29507;6,88E-17;4,33E-18
1,2935;6,57E-17;3,83E-18
1,29193;6,41E-17;4,33E-18
1,29036;7,22E-17;3,77E-18
1,28879;6,66E-17;4,22E-18
1,28722;6,99E-17;4,66E-18
1,28565;6,43E-17;3,55E-18
1,28408;6,39E-17;3,39E-18
1,28251;4,00E-17;3,94E-18
1,28094;3,36E-17;3,86E-18
1,27937;3,56E-17;4,47E-18
1,2778;3,20E-17;3,86E-18
1,27623;3,26E-17;4,25E-18
1,27466;3,06E-17;3,72E-18
1,27309;3,37E-17;4,36E-18
1,27152;3,14E-17;3,77E-18
1,26995;3,37E-17;2,61E-18
1,26838;3,64E-17;2,36E-18
1,26681;3,40E-17;2,16E-18
1,26524;3,50E-17;2,08E-18
1,26367;2,99E-17;2,00E-18
1,2621;3,19E-17;2,28E-18
1,26053;3,12E-17;2,19E-18
1,25896;3,46E-17;2,50E-18
1,25739;2,96E-17;2,55E-18
1,25582;3,66E-17;2,05E-18
1,25425;3,29E-17;2,08E-18
1,25268;3,42E-17;2,41E-18
1,25111;3,24E-17;2,44E-18
1,24954;2,95E-17;1,97E-18
1,24797;2,93E-17;1,89E-18
1,2464;3,02E-17;2,47E-18
1,24483;3,30E-17;2,28E-18
1,24326;3,12E-17;2,22E-18
1,24169;3,13E-17;2,55E-18
1,24012;3,37E-17;2,41E-18
1,23855;3,12E-17;1,89E-18
1,23698;3,29E-17;1,78E-18
1,23541;2,85E-17;2,03E-18
1,23384;2,88E-17;2,36E-18
1,23227;3,03E-17;1,72E-18
1,2307;2,93E-17;1,75E-18
1,22913;3,18E-17;2,16E-18
1,22756;3,13E-17;2,33E-18
1,22599;3,23E-17;2,33E-18
1,22442;2,89E-17;1,97E-18
1,22285;3,19E-17;2,03E-18
1,22128;3,24E-17;1,67E-18
1,21971;2,82E-17;2,25E-18
1,21814;2,96E-17;1,69E-18
1,21657;2,96E-17;1,83E-18
1,215;3,00E-17;1,94E-18
1,21343;3,07E-17;1,92E-18
1,21186;2,91E-17;1,86E-18
1,21029;2,75E-17;1,28E-18
1,20872;2,91E-17;2,11E-18
1,20715;2,96E-17;2,05E-18
1,20558;2,71E-17;1,83E-18
1,20401;2,71E-17;2,00E-18
1,20244;2,81E-17;2,14E-18
1,20087;2,83E-17;1,78E-18
1,1993;2,83E-17;2,00E-18
1,19773;3,09E-17;2,19E-18
1,19616;2,93E-17;2,14E-18
1,19459;2,69E-17;1,97E-18
1,19302;3,00E-17;2,41E-18
1,19145;2,99E-17;2,36E-18
1,18988;2,57E-17;2,33E-18
1,18831;2,61E-17;1,89E-18
1,18674;2,79E-17;1,58E-18
1,18517;2,77E-17;1,19E-18
1,1836;2,81E-17;1,11E-18
1,18203;2,90E-17;9,16E-19
1,18046;3,04E-17;1,05E-18
1,17889;2,72E-17;7,49E-19
1,17732;2,92E-17;9,99E-19
1,17575;2,89E-17;1,03E-18
1,17418;2,66E-17;9,16E-19
1,17261;2,64E-17;9,16E-19
1,17104;2,73E-17;1,11E-18
1,16947;2,84E-17;9,71E-19
1,1679;2,75E-17;1,14E-18
1,16633;3,02E-17;8,33E-19
1,16476;3,08E-17;1,05E-18
1,16319;2,55E-17;9,44E-19
1,16162;2,77E-17;8,88E-19
1,16005;2,87E-17;1,19E-18
1,15848;2,45E-17;9,71E-19
1,15691;2,65E-17;1,08E-18
1,15534;2,54E-17;9,71E-19
1,15377;2,70E-17;1,05E-18
1,1522;2,84E-17;8,33E-19
1,15063;2,45E-17;8,33E-19
1,14906;2,78E-17;9,44E-19
1,14749;2,58E-17;9,44E-19
1,14592;2,56E-17;7,77E-19
1,14435;2,72E-17;1,08E-18
1,14278;2,53E-17;9,71E-19
1,14121;2,45E-17;1,03E-18
1,13964;2,41E-17;1,11E-18
1,13807;2,62E-17;6,38E-19
1,1365;2,76E-17;9,44E-19
1,13493;2,79E-17;8,88E-19
1,13336;2,37E-17;1,05E-18
1,13179;1,57E-17;9,85E-19
1,13022;1,37E-17;9,44E-19
1,12865;1,32E-17;7,63E-19
1,12708;1,34E-17;4,72E-19
1,12551;1,26E-17;7,36E-19
1,12394;1,30E-17;5,83E-19
1,12237;1,33E-17;5,27E-19
1,1208;1,22E-17;4,16E-19
1,11923;1,21E-17;4,86E-19
1,11766;1,24E-17;5,13E-19
1,11609;1,28E-17;5,13E-19
1,11452;1,19E-17;6,38E-19
1,11295;1,28E-17;5,69E-19
1,11138;1,30E-17;4,02E-19
1,10981;1,19E-17;4,16E-19
1,10824;1,27E-17;4,72E-19
1,10667;1,29E-17;3,47E-19
1,1051;1,16E-17;2,50E-19
1,10353;1,18E-17;4,16E-19
1,10196;1,19E-17;4,58E-19
1,10039;1,25E-17;4,86E-19
1,09882;1,23E-17;4,02E-19
1,09725;1,20E-17;5,13E-19
1,09568;1,19E-17;4,58E-19
1,09411;1,15E-17;4,58E-19
1,09254;1,19E-17;5,13E-19
1,09097;1,14E-17;4,86E-19
1,0894;1,09E-17;2,91E-19
1,08783;1,14E-17;2,08E-19
1,08626;1,19E-17;1,67E-19
1,08469;1,21E-17;2,08E-19
1,08312;1,17E-17;2,36E-19
1,08155;1,14E-17;1,80E-19
1,07998;1,17E-17;2,78E-19
1,07841;1,10E-17;2,22E-19
1,07684;1,19E-17;2,22E-19
1,07527;1,06E-17;3,05E-19
1,0737;1,10E-17;1,67E-19
1,07213;1,21E-17;3,89E-19
1,07056;1,12E-17;2,08E-19
1,06899;1,16E-17;1,94E-19
1,06742;1,08E-17;2,08E-19
1,06585;1,09E-17;2,08E-19
1,06428;9,46E-18;2,91E-19
1,06271;5,33E-18;2,15E-19
1,06114;4,61E-17;4,52E-17
1,05957;5,24E-17;5,23E-17
1,058;5,33E-17;5,28E-17
1,05643;5,32E-17;5,27E-17
1,05486;5,28E-17;5,23E-17
1,05329;5,29E-17;5,25E-17
1,05172;5,31E-17;5,31E-17
1,05015;5,28E-17;5,27E-17
1,04858;5,28E-17;5,25E-17
1,04701;5,33E-17;5,28E-17
1,04544;5,38E-17;5,35E-17
1,04387;5,36E-17;5,31E-17
1,0423;5,30E-17;5,29E-17
1,04073;5,37E-17;5,34E-17
1,03916;5,35E-17;5,37E-17
1,03759;5,39E-17;5,35E-17
1,03602;5,28E-17;5,32E-17
1,03445;5,39E-17;5,36E-17
1,03288;5,43E-17;5,39E-17
1,03131;5,42E-17;5,38E-17
1,02974;5,37E-17;5,35E-17
1,02817;5,40E-17;5,40E-17
1,0266;5,44E-17;5,44E-17
1,02503;5,41E-17;5,41E-17
1,02346;5,40E-17;5,39E-17
1,02189;5,42E-17;5,42E-17
1,02032;5,47E-17;5,46E-17
1,01875;5,46E-17;5,44E-17
1,01718;5,43E-17;5,42E-17
1,01561;5,47E-17;5,46E-17
1,01404;5,51E-17;5,50E-17
1,01247;5,49E-17;5,48E-17
1,0109;5,46E-17;5,45E-17
1,00933;5,50E-17;5,50E-17
1,00776;5,52E-17;5,52E-17
1,00619;5,54E-17;5,54E-17
1,00462;5,47E-17;5,48E-17
1,00305;5,57E-17;5,56E-17
1,00148;5,54E-17;5,54E-17
0,99991;5,36E-17;5,36E-17
0,99834;2,77E-17;2,77E-17
0,99677;2,79E-17;2,79E-17
0,9952;2,78E-17;2,78E-17
0,99363;2,80E-17;2,80E-17
0,99206;2,79E-17;2,79E-17
0,99049;2,81E-17;2,81E-17
0,98892;2,80E-17;2,80E-17
0,98735;2,82E-17;2,81E-17
0,98578;2,81E-17;2,81E-17
0,98421;2,83E-17;2,82E-17
0,98264;2,82E-17;2,81E-17
0,98107;2,85E-17;2,84E-17
0,9795;2,84E-17;2,83E-17
0,97793;2,87E-17;2,84E-17
0,97636;2,86E-17;2,84E-17
0,97479;2,86E-17;2,85E-17
0,97322;2,86E-17;2,85E-17
0,97165;2,87E-17;2,86E-17
0,97008;2,88E-17;2,86E-17
0,96851;2,90E-17;2,86E-17
0,96694;2,93E-17;2,88E-17
0,96537;2,95E-17;2,88E-17
0,9638;2,92E-17;2,88E-17
0,96223;2,95E-17;2,89E-17
0,96066;2,95E-17;2,89E-17
0,95909;2,91E-17;2,88E-17
0,95752;2,93E-17;2,89E-17
0,95595;2,97E-17;2,91E-17
0,95438;2,98E-17;2,90E-17
0,95281;2,96E-17;2,92E-17
0,95124;2,93E-17;2,91E-17
0,94967;2,95E-17;2,94E-17
0,9481;2,97E-17;2,93E-17
0,94653;2,98E-17;2,94E-17
0,94496;2,99E-17;2,92E-17
0,94339;2,97E-17;2,94E-17
0,94182;2,98E-17;2,94E-17
0,94025;3,02E-17;2,95E-17
0,93868;3,06E-17;2,95E-17
0,93711;2,63E-17;2,25E-17
0,93554;1,12E-17;1,67E-19
0,93397;1,05E-17;1,39E-19
0,9324;1,10E-17;2,22E-19
0,93083;1,10E-17;2,50E-19
0,92926;1,15E-17;1,39E-19
0,92769;1,18E-17;2,36E-19
0,92612;1,12E-17;1,67E-19
0,92455;1,14E-17;2,64E-19
0,92298;1,10E-17;3,19E-19
0,92141;1,10E-17;2,50E-19
0,91984;1,10E-17;1,94E-19
0,91827;1,07E-17;3,05E-19
0,9167;1,18E-17;2,50E-19
0,91513;1,19E-17;1,53E-19
0,91356;1,18E-17;2,22E-19
0,91199;1,17E-17;5,83E-19
0,91042;1,14E-17;5,69E-19
0,90885;1,20E-17;5,69E-19
0,90728;1,22E-17;3,47E-19
0,90571;1,10E-17;4,44E-19
0,90414;1,23E-17;3,61E-19
0,90257;1,14E-17;6,80E-19
0,901;1,29E-17;4,30E-19
0,89943;1,28E-17;3,89E-19
0,89786;1,27E-17;5,83E-19
0,89629;1,21E-17;5,83E-19
0,89472;1,16E-17;6,11E-19
0,89315;1,23E-17;5,41E-19
0,89158;1,23E-17;5,55E-19
0,89001;1,18E-17;4,72E-19
0,88844;1,29E-17;3,61E-19
0,88687;1,21E-17;5,69E-19
0,8853;1,29E-17;5,69E-19
0,88373;1,40E-17;6,25E-19
0,88216;1,49E-17;5,41E-19
0,88059;2,54E-17;3,61E-19
0,87902;2,70E-17;5,55E-19
0,87745;2,58E-17;8,33E-19
0,87588;2,37E-17;8,60E-19
0,87431;2,37E-17;9,44E-19
0,87274;2,69E-17;9,71E-19
0,87117;2,73E-17;7,49E-19
0,8696;2,46E-17;8,33E-19
0,86803;2,64E-17;9,44E-19
0,86646;2,67E-17;6,38E-19
0,86489;2,94E-17;7,77E-19
0,86332;2,58E-17;8,05E-19
0,86175;2,68E-17;8,60E-19
0,86018;2,40E-17;8,60E-19
0,85861;2,50E-17;1,22E-18
0,85704;2,50E-17;9,71E-19
0,85547;2,88E-17;9,16E-19
0,8539;2,61E-17;8,60E-19
0,85233;2,63E-17;9,16E-19
0,85076;2,91E-17;1,17E-18
0,84919;2,74E-17;6,94E-19
0,84762;2,91E-17;9,99E-19
0,84605;2,65E-17;7,77E-19
0,84448;2,58E-17;1,03E-18
